"PAIS","DEPARTAMENTO","CODIGO DANE","MUNICIPIO","DESAGREGACIÓN CULTIVO","CULTIVO","CICLO DE CULTIVO","GRUPO CULTIVO","SUBGRUPO","AÑO","PERIODO","Área Sembrada(ha)","ÁREA COSECHADA(ha)","PRODUCCION(t)","RENDIMIENTO(t/ha)","CÓDIGO  CULTIVO","NOMBRE CIENTÍFICO CULTIVO","ESTADO FISICO DEL CULTIVO"
"Colombia","Caldas","17001","Manizales","Sábila","Sábila","Permanente","Cultivos para Condimentos y Bebidas Medicinales y Aromáticas","Medicinales","2019","2019","2.00","2","40","20","2022800","Aloe vera","En fresco"
"Colombia","Caldas","17001","Manizales","Aguacate demás variedades","Aguacate demás variedades","Permanente","Frutales","Demas frutales","2019","2019","680.00","648","6,480","10","2040299","Persea americana","En fresco"
"Colombia","Caldas","17001","Manizales","Banano consumo interno","Banano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","215.00","154","4,127.2","26.8","2040902","Musa cavendishii","En fresco"
"Colombia","Caldas","17001","Manizales","Granadilla","Granadilla","Permanente","Frutales","Pasifloráceas","2019","2019","0.00","0","0","0","2042800","Passiflora ligularis.","En fresco"
"Colombia","Caldas","17001","Manizales","Guayaba","Guayaba","Permanente","Frutales","Mirtáceas","2019","2019","136.00","136","1,468.8","10.8","2043000","Psidium guajava L.","En fresco"
"Colombia","Caldas","17001","Manizales","Gulupa o cholupa","Gulupa o cholupa","Permanente","Frutales","Pasifloráceas","2019","2019","5.00","4.9","98","20","2043100","Passiflora edulis Sims fo. Edulis","En fresco"
"Colombia","Caldas","17001","Manizales","Lulo","Lulo","Permanente","Frutales","Solanáceas","2019","2019","1.00","1","3","3","2043700","Solanum quitoense Lam","En fresco"
"Colombia","Caldas","17001","Manizales","Piña demás variedades","Piña demás variedades","Permanente","Frutales","Demas frutales","2019","2019","0.00","0","0","0","2045699","Ananas comosus L. Merr.","En fresco"
"Colombia","Caldas","17001","Manizales","Plátano consumo interno","Plátano consumo interno","Permanente","Frutales","Demas frutales","2019","2019","1,491.00","1,491","21,843.15","14.65","2045802","Musa paradisiaca L.","En fresco"
"Colombia","Caldas","17001","Manizales","Otros cítricos","Otros cítricos","Permanente","Frutales","Cítricos","2019","2019","916.00","880","9,504","10.8","2049800","No aplica","En fresco"
